rank,freq,zipf
1255,7,1.19442
1256,7,1.19347
1257,7,1.19252
1258,7,1.19157
1259,7,1.19063
1260,7,1.18968
1261,7,1.18874
1262,7,1.1878
1263,7,1.18686
1264,7,1.18592
1265,7,1.18498
1266,7,1.18404
1267,7,1.18311
1268,7,1.18218
1269,7,1.18125
1270,7,1.18031
1271,7,1.17939
1272,7,1.17846
1273,7,1.17753
1274,7,1.17661
1275,7,1.17569
1276,7,1.17476
1277,7,1.17384
1278,7,1.17293
1279,7,1.17201
1280,7,1.17109
1281,7,1.17018
1282,7,1.16927
1283,7,1.16836
1284,7,1.16745
1285,7,1.16654
1286,7,1.16563
1287,7,1.16472
1288,7,1.16382
1289,7,1.16292
1290,7,1.16202
1291,7,1.16112
1292,7,1.16022
1293,7,1.15932
1294,7,1.15842
1295,7,1.15753
1296,7,1.15664
1297,7,1.15574
1298,7,1.15485
1299,7,1.15396
1300,7,1.15308
1301,7,1.15219
1302,7,1.15131
1303,7,1.15042
1304,7,1.14954
1305,7,1.14866
1306,7,1.14778
1307,7,1.1469
1308,7,1.14602
1309,7,1.14515
1310,7,1.14427
1311,7,1.1434
1312,7,1.14253
1313,7,1.14166
1314,7,1.14079
1315,7,1.13992
1316,7,1.13906
1317,7,1.13819
1318,7,1.13733
1319,7,1.13647
1320,7,1.13561
1321,7,1.13475
1322,7,1.13389
1323,7,1.13303
1324,7,1.13218
1325,7,1.13132
1326,7,1.13047
1327,7,1.12962
1328,7,1.12877
1329,7,1.12792
1330,7,1.12707
1331,7,1.12622
1332,7,1.12538
1333,7,1.12453
1334,7,1.12369
1335,7,1.12285
1336,7,1.12201
1337,7,1.12117
1338,7,1.12033
1339,7,1.11949
1340,7,1.11866
1341,7,1.11782
1342,7,1.11699
1343,7,1.11616
1344,7,1.11533
1345,7,1.1145
1346,7,1.11367
1347,7,1.11284
1348,7,1.11202
1349,7,1.11119
1350,7,1.11037
1351,7,1.10955
1352,7,1.10873
1353,7,1.10791
1354,7,1.10709
1355,7,1.10627
1356,7,1.10546
1357,7,1.10464
1358,7,1.10383
1359,7,1.10302
1360,7,1.10221
1361,7,1.1014
1362,7,1.10059
1363,7,1.09978
1364,7,1.09897
1365,7,1.09817
1366,7,1.09736
1367,7,1.09656
1368,7,1.09576
1369,7,1.09496
1370,7,1.09416
1371,7,1.09336
1372,7,1.09257
1373,7,1.09177
1374,7,1.09098
1375,7,1.09018
1376,7,1.08939
1377,7,1.0886
1378,7,1.08781
1379,7,1.08702
1380,7,1.08623
1381,7,1.08545
1382,7,1.08466
1383,7,1.08388
1384,7,1.08309
1385,7,1.08231
1386,7,1.08153
1387,7,1.08075
1388,7,1.07997
1389,7,1.07919
1390,7,1.07842
1391,7,1.07764
1392,7,1.07687
1393,7,1.07609
1394,7,1.07532
1395,7,1.07455
1396,7,1.07378
1397,7,1.07301
1398,7,1.07225
1399,7,1.07148
1400,7,1.07071
1401,7,1.06995
1402,7,1.06919
1403,7,1.06842
1404,7,1.06766
1405,7,1.0669
1406,7,1.06615
1407,7,1.06539
1408,7,1.06463
1409,7,1.06388
1410,7,1.06312
1411,7,1.06237
1412,7,1.06161
1413,7,1.06086
1414,7,1.06011
1415,7,1.05936
1416,7,1.05862
1417,7,1.05787
1418,7,1.05712
1419,7,1.05638
1420,7,1.05563
1421,7,1.05489
1422,7,1.05415
1423,7,1.05341
1424,7,1.05267
1425,7,1.05193
1426,7,1.05119
1427,7,1.05046
1428,7,1.04972
1429,7,1.04899
1430,7,1.04825
1431,7,1.04752
1432,7,1.04679
1433,7,1.04606
1434,7,1.04533
1435,7,1.0446
1436,7,1.04387
1437,7,1.04315
1438,7,1.04242
1439,7,1.0417
1440,7,1.04097
1441,7,1.04025
1442,7,1.03953
1443,7,1.03881
1444,7,1.03809
1445,7,1.03737
1446,7,1.03665
1447,7,1.03594
1448,7,1.03522
1449,7,1.03451
1450,7,1.03379
1451,7,1.03308
1452,7,1.03237
1453,7,1.03166
1454,7,1.03095
1455,7,1.03024
1456,7,1.02953
1457,7,1.02883
1458,7,1.02812
1459,7,1.02742
1460,7,1.02671
1461,7,1.02601
1462,7,1.02531
1463,7,1.02461
1464,7,1.02391
1465,7,1.02321
1466,7,1.02251
1467,7,1.02181
1468,7,1.02112
1469,7,1.02042
1470,7,1.01973
1471,7,1.01903
1472,7,1.01834
1473,7,1.01765
1474,7,1.01696
1475,7,1.01627
1476,7,1.01558
1477,7,1.0149
1478,7,1.01421
1479,7,1.01352
1480,7,1.01284
1481,7,1.01215
1482,7,1.01147
1483,7,1.01079
1484,7,1.01011
1485,7,1.00943
1486,7,1.00875
1487,7,1.00807
1488,7,1.00739
1489,7,1.00672
1490,7,1.00604
1491,7,1.00537
1492,7,1.00469
1493,7,1.00402
1494,7,1.00335
1495,7,1.00268
